iter	Logloss
0	0.657092229
1	0.6270253142
2	0.6003286045
3	0.5781632893
4	0.5552188649
5	0.5378013861
6	0.5191768659
7	0.5067667695
8	0.4953095263
9	0.4833468406
10	0.4713334234
11	0.4605935684
12	0.4515138732
13	0.4461765764
14	0.4418529418
15	0.4381346286
16	0.4317002067
17	0.4256927387
18	0.4218830679
19	0.4174801102
20	0.4123097219
21	0.4079949644
22	0.4052084557
23	0.4022952395
24	0.3978472339
25	0.395089195
26	0.3923565999
27	0.3908697367
28	0.3888888981
29	0.3880563852
30	0.3857514127
31	0.3835810279
32	0.3813224126
33	0.3787876547
34	0.3771945282
35	0.3757800838
36	0.3753366486
37	0.3739912682
38	0.3722534398
39	0.3720938683
40	0.3711197088
41	0.3700275663
42	0.3687505282
43	0.3679324501
44	0.3669337529
45	0.3668189903
46	0.3656533362
47	0.3655528034
48	0.3645586533
49	0.3632913972
50	0.3608998196
51	0.3597597759
52	0.359482441
53	0.3586976231
54	0.3575436861
55	0.3568487243
56	0.3567047343
57	0.3565223352
58	0.3559645656
59	0.3554275878
60	0.3545755438
61	0.3538960835
62	0.3529383501
63	0.3519567083
64	0.3510741962
65	0.3510258444
66	0.3503450579
67	0.3498871921
68	0.3497910758
69	0.3497707306
70	0.3493904281
71	0.3479327102
72	0.3474196379
73	0.3464632677
74	0.3459317398
75	0.3447580382
76	0.3446156689
77	0.3442485694
78	0.3435628802
79	0.3431809991
80	0.3428110297
81	0.341876564
82	0.3416362397
83	0.3408610782
84	0.3403018516
85	0.3396401029
86	0.3393346565
87	0.3385521229
88	0.3379731633
89	0.337866495
90	0.3373720356
91	0.3370952924
92	0.3367833246
93	0.3363157325
94	0.3357073986
95	0.3349882979
96	0.3338871706
97	0.3334726051
98	0.3317360169
99	0.3310064639
