iter	Passed	Remaining
0	2	280
1	5	268
2	8	264
3	11	264
4	13	262
5	16	263
6	19	260
7	22	259
8	25	253
9	30	270
10	33	271
11	36	269
12	40	271
13	41	256
14	42	242
15	43	229
16	46	228
17	50	229
18	53	229
19	57	229
20	60	228
21	64	228
22	66	222
23	70	222
24	74	222
25	77	221
26	81	220
27	82	212
28	86	210
29	87	203
30	90	201
31	93	199
32	97	198
33	101	196
34	104	194
35	108	192
36	109	186
37	113	184
38	116	182
39	117	176
40	121	174
41	124	171
42	127	169
43	131	166
44	134	164
45	135	159
46	138	156
47	139	151
48	143	149
49	146	146
50	150	144
51	154	142
52	155	137
53	158	135
54	162	132
55	165	130
56	167	126
57	169	122
58	171	118
59	174	116
60	177	113
61	180	110
62	183	107
63	187	105
64	190	102
65	191	98
66	194	95
67	198	93
68	199	89
69	201	86
70	204	83
71	207	80
72	210	77
73	213	75
74	217	72
75	220	69
76	223	66
77	226	63
78	230	61
79	233	58
80	236	55
81	240	52
82	243	49
83	246	47
84	250	44
85	253	41
86	256	38
87	259	35
88	263	32
89	266	29
90	269	26
91	272	23
92	276	20
93	279	17
94	282	14
95	367	15
96	391	12
97	394	8
98	400	4
99	405	0
